1	((5,88)  ,        ,        ,        )	X
2	((5,89)  ,        ,        ,        )	Y
3	((5,73)  ,        ,        ,        )	I
4	((5,65)  ,        ,        ,        )	A
5	((5,82)  ,        ,        ,        )	L91
6	((5,83)  ,        ,        ,        )	L92
7	((1,4)  ,(3,1)  ,        ,(5,73)  )	I = 1
8	((1,4)  ,(3,2)  ,        ,(5,88)  )	X = 5
9	((1,4)  ,(3,3)  ,        ,(5,89)  )	Y = 11
10	((2,10)  ,(5,88)  ,(5,89)  ,(0,1)  )	T1 = X GT Y 
11	((2,12)  ,(0,1)  ,(6,12)  ,(6,13)  )	IF T1 GO TO 12, ELSE GO TO 13
12	((2,11)  ,        ,        ,(6,19)  )	GTO L92
13	((1,5)  ,(5,88)  ,(3,4)  ,(0,2)  )	T2 = X + 2
14	((1,4)  ,(0,2)  ,        ,(5,88)  )	X = T2
15	((1,4)  ,(5,88)  ,(5,65)  ,(5,73)  )	A(I) = X
16	((1,5)  ,(5,73)  ,(3,1)  ,(0,3)  )	T3 = I + 1
17	((1,4)  ,(0,3)  ,        ,(5,73)  )	I = T3
18	((2,11)  ,        ,        ,(6,10)  )	GTO L91
19	((2,6)  ,        ,        ,        )	ENP
